房间数,租赁,区域,房名,链接,面积,楼层,朝向,车位,洗衣机,空调,电视,冰箱,热水器,床,暖气,宽带,天然气,租金 (元/月),经度(E),纬度(W),平均租金,最近地铁站,最近公交站,500m内医院数量,500m内教育设施数量,500m内购物中心数
5,0,2,东窑坊,https://xa.lianjia.com/zufang/XA1571059351957798912.html,10,3,1,1,0,0,0,1,1,0,0,1,0,501,109.00171,34.272028,50.1,"400['通化门', '通化门']",100['东二环金康路口'],2,13,1
4,0,3,雅卓花園,https://xa.lianjia.com/zufang/XA1577197253548834816.html,25,2,5,1,0,0,0,0,1,0,0,0,1,720,108.87607,34.284293,28.8,639['枣园'],226['汉都故里'],0,1,0
1,1,7,富华博派时代,https://xa.lianjia.com/zufang/XA1583683716520083456.html,47.99,2,3,2,0,0,0,1,1,0,0,0,0,1550,108.971751,34.158891,32.3,300['神舟二路'],200['东长安街雁塔南路口'],0,1,0
1,1,7,富华博派时代,https://xa.lianjia.com/zufang/XA1584128794115964928.html,43.87,1,6,2,0,0,0,1,1,0,0,0,0,1600,108.971751,34.158891,36.47,300['神舟二路'],200['东长安街雁塔南路口'],0,1,0
1,1,4,华远海蓝城五期,https://xa.lianjia.com/zufang/XA1585309758032707584.html,35,1,5,2,0,0,0,1,0,0,0,0,0,1400,109.01149,34.313609,40,900['广泰门'],"400['北辰东路玄武东路口', '广安路北辰东路口', '北辰东路玄武东路口']",5,5,0
1,1,4,海璟新天地,https://xa.lianjia.com/zufang/XA1585310655164973056.html,35,1,5,2,0,0,0,1,0,0,0,0,0,1500,108.938231,34.33184,42.86,904['明光路'],180['明光路凤城四路口'],1,4,0
1,1,4,海璟暖暖的宅,https://xa.lianjia.com/zufang/XA1585312850455298048.html,50,1,5,2,0,0,0,1,0,0,0,0,0,1370,108.934954,34.31873,27.4,583['明光路'],254['明光路凤城一路口'],1,4,1
1,1,4,华远枫悦,https://xa.lianjia.com/zufang/XA1585313262851850240.html,35,1,5,2,0,0,0,1,0,0,0,0,0,1370,108.98597,34.337744,39.14,500['环园中路'],"100['青枫巷中段', '青枫巷中段']",1,1,0
1,1,4,华远枫悦,https://xa.lianjia.com/zufang/XA1585313490514477056.html,35,2,5,2,0,0,0,1,0,0,0,0,0,1370,108.98597,34.337744,39.14,500['环园中路'],"100['青枫巷中段', '青枫巷中段']",1,1,0
1,1,4,红光嘉苑,https://xa.lianjia.com/zufang/XA1585314043973861376.html,50,3,5,2,0,0,0,1,0,0,0,0,0,1550,108.998783,34.358978,31,1000['红旗'],"200['北辰路红旗东路口', '红旗东路御井路口', '北辰路红旗东路口']",3,2,0
1,1,4,百花村社区,https://xa.lianjia.com/zufang/XA1585314546757664768.html,35,3,5,2,0,0,0,1,0,0,0,0,0,1200,108.980274,34.330788,34.29,300['百花村'],400['百花村'],0,4,0
1,1,7,紫薇睿纳时代,https://xa.lianjia.com/zufang/XA1585515480607621120.html,40,1,5,1,0,0,0,0,0,0,0,0,0,1600,108.895028,34.163929,40,935['樱花广场'],384['西长安街居安路口'],2,4,1
1,1,7,曲江观山悦,https://xa.lianjia.com/zufang/XA1585561648926556160.html,40,1,5,2,0,0,0,1,0,0,0,0,0,1500,108.972501,34.180509,37.5,900['航天大道'],"200['北里王东村', '北里王东村']",0,0,0
1,1,7,曲江观山悦,https://xa.lianjia.com/zufang/XA1585561818464518144.html,40,1,5,2,0,0,0,1,0,0,0,0,0,1400,108.972501,34.180509,35,900['航天大道'],"200['北里王东村', '北里王东村']",0,0,0
1,1,7,楠香郡,https://xa.lianjia.com/zufang/XA1585563427860905984.html,35,1,5,1,0,0,0,1,0,0,0,0,0,1450,108.91358,34.16329,41.43,288['邮电学院'],141['长安区政府'],0,5,0
1,1,7,楠香郡,https://xa.lianjia.com/zufang/XA1585563592571224064.html,35,1,5,1,0,0,0,1,0,0,0,0,0,1500,108.91358,34.16329,42.86,288['邮电学院'],141['长安区政府'],0,5,0
1,1,7,天赐颐府,https://xa.lianjia.com/zufang/XA1585567555769073664.html,40,3,5,1,0,0,0,1,0,0,0,0,0,1500,108.976055,34.175915,37.5,500['航天大道'],200['神舟三路航开路口'],1,1,0
1,1,7,万景荔知湾,https://xa.lianjia.com/zufang/XA1585925245737369600.html,40,1,5,2,0,0,0,0,0,0,0,0,0,1380,108.911055,34.151761,34.5,nan,251['温国堡'],0,0,0
1,1,7,南山花园,https://xa.lianjia.com/zufang/XA1585962198532882432.html,40,1,5,2,0,0,0,1,0,0,0,0,0,1500,108.889235,34.162453,37.5,507['樱花广场'],212['西长安街居安路口'],1,2,0
1,1,7,楠香郡,https://xa.lianjia.com/zufang/XA1585962684136816640.html,40,2,5,1,0,0,0,1,0,0,0,0,0,1600,108.91358,34.16329,40,288['邮电学院'],141['长安区政府'],0,5,0
1,1,7,曲江观山悦,https://xa.lianjia.com/zufang/XA1585963791407906816.html,55,2,5,2,0,0,0,1,0,0,0,0,0,1750,108.972501,34.180509,31.82,900['航天大道'],"200['北里王东村', '北里王东村']",0,0,0
